model_name,tag_name,description,threshold
vae_group2_turbine_press2,3370-02-EBB08,PRESS RUNNER WITH  DISCH RING,0.374463448
vae_group2_turbine_press2,3370-02-AI109,PENSTOCK PRESS-1,0.603271444
vae_group2_turbine_press2,3370-02-AI153,PRESSS OF DRAFT TUBE,0.341044732
vae_group2_turbine_press2,3370-02-AI156,PRESS IN RUNNER & DISCH RING,0.366235809
vae_group2_turbine_press2,3370-02-AI110,PENSTOCK PRESS-2,0.606229659
vae_group2_ss_temp,3370-02-AI060,TURBINE SHAFT SEAL. TEMP-1,0.38205516
vae_group2_ss_temp,3370-02-AI062,TURBINE SHAFT SEAL. TEMP-3,0.302458689
vae_group2_ss_temp,3370-02-AI060-1,,1.383058477
vae_group2_ss_temp,3370-02-AI061-1,,2.504658768
vae_group2_ss_temp,3370-02-AI061,TURBINE SHAFT SEAL. TEMP-2,0.310521879
vae_group2_ss_press1_,3370-02-AI036,TURBINE SHAFT SEAL PRESS -2,0.081153794
vae_group2_ss_press1_,3370-02-AI037,TURBINE SHAFT SEAL PRESS -3,0.081570908
vae_group2_ss_press1_,3370-02-PT-SHAFTSEAL-LCP-AI01,,0.562229009
vae_group2_ss_press1_,3370-02-AI035,TURBINE SHAFT SEAL PRESS -1,0.081411202
vae_group1_turbine_press2,3370-01-AI109,PENSTOCK PRESS-1,0.605250677
vae_group1_turbine_press2,3370-01-AI110,PENSTOCK PRESS-2,0.605234157
vae_group1_turbine_press2,3370-01-AI153,PRESSS OF DRAFT TUBE,0.349141404
vae_group1_turbine_press2,3370-01-AI156,PRESS IN RUNNER & DISCH RING,0.381963098
vae_group1_turbine_press2,3370-01-EBB08,PRESS RUNNER WITH  DISCH RING,0.381797836
vae_group1_turbine_oil_,3370-01-AI024,GUIDE BEARING OIL PRESS,0.104641037
vae_group1_turbine_oil_,3370-01-AI025,TBN GUIDE BEARING OIL PRESS,0.10467954
vae_group1_turbine_oil_,3370-01-AI028,GUIDE BEARING OIL PRESS PUMP,0.051012558
vae_group1_turbine_oil_,3370-01-AI029,GUIDE BEARING OIL PRESS PUMP,0.051177675
vae_group1_turbine_oil_,3370-01-AI078-1,GUIDE BRG OIL IN/OUT OIL TEMP,0.838109388
vae_group1_turbine_oil_,3370-01-DTGATE-AI002,,0.431598213
vae_group1_turbine_oil_,3370-01-AI026,GUIDE BEARING OIL PRESS,0.104688842
vae_group1_turbine_oil_,3370-01-AI027,GUIDE BEARING OIL PRESS PUMP,0.05096929
vae_group1_turbine_oil_,3370-01-AI079,GUIDE BRG OIL OUT/IN OIL TEMP,0.691653348
vae_group1_turbine_bearing2,3370-01-CAVITATION,#1 CAVITATION,0.562634463
vae_group1_turbine_bearing2,3370-01-TBNBRG-VIB-X,#1 TBN BRG VIB-X,49.08677563
vae_group1_turbine_bearing2,3370-01-TBNBRG-VIB-Y,#1 TBN BRG VIB-Y,50.55896887
vae_group1_temp_concat,3370-01-AI082,GUIDE BEARING METAL TEMP-2,0.522003952
vae_group1_temp_concat,3370-01-AI083,GUIDE BEARING METAL TEMP-3,0.678010361
vae_group1_temp_concat,3370-01-AI084,GUIDE BEARING METAL TEMP-5,0.6
vae_group1_temp_concat,3370-01-AI085,GUIDE BEARING METAL TEMP-6,0.413902028
vae_group1_temp_concat,3370-01-AI081,GUIDE BEARING METAL TEMP-1,0.6
vae_group1_ss_press1_,3370-01-AI035,TURBINE SHAFT SEAL PRESS -1,0.111429021
vae_group1_ss_press1_,3370-01-AI036,TURBINE SHAFT SEAL PRESS -2,0.127070579
vae_group1_ss_press1_,3370-01-AI037,TURBINE SHAFT SEAL PRESS -3,0.117387843
vae_group1_ss_press1_,3370-01-AI145,TURBINE SHAFT SEAL WATER FLOW,0.282198312
vae_group1_cwp_press,3370-01-AI201,MAIN COOL WTR PUMP INLET PRESS,0.327369043
vae_group1_cwp_press,3370-01-AI202,MAIN COOL WTR PP DISCHARGE PR,0.473773344
vae_group1_cwp_press,3370-01-AI202-1,MAIN COOLWTR PP INLET WTR TEMP,0.195149644
vae_group1_cwp_press,3370-01-AI098,COOL WTR AUT STRAIN-1 DIFF PR,0.012369391
vae_group1_cwp_press,3370-01-AI099,COOL WTR AUT STRAIN-2 DIFF PR,0.013769842
vae_group1_cwp_press,3370-01-EA5G5,COOLING WATER DISCH. PRESS,0.353232647
