Timestamp,3370-01-AI098,3370-01-AI099,3370-01-AI201,3370-01-AI202-1,3370-01-AI202,3370-01-EA5G5,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:30:00,0.005,-0.003,9.251,8.997,9.019,0.784,0,1
2024-08-06 12:30:05,0.005,-0.003,9.251,8.997,9.019,0.784,0,1
2024-08-06 12:30:10,0.005,-0.003,9.251,8.997,9.019,0.784,0,1
2024-08-06 12:30:15,0.005,-0.003,9.251,8.997,9.019,0.784,0,1
2024-08-06 12:30:20,0.005,-0.003,9.251,8.997,9.019,0.784,0,1
2024-08-06 12:30:25,0.005,-0.003,9.251,8.997,9.017,0.784,0,1
2024-08-06 12:30:30,0.005,-0.003,9.251,8.997,9.017,0.784,0,1
2024-08-06 12:30:35,0.005,-0.003,9.251,8.997,9.017,0.784,0,1
2024-08-06 12:30:40,0.005,-0.003,9.249,9.004,9.017,0.784,0,1
2024-08-06 12:30:45,0.005,-0.003,9.249,9.004,9.017,0.784,0,1
2024-08-06 12:30:50,0.005,-0.003,9.251,9.012,9.017,0.784,0,1
2024-08-06 12:30:55,0.005,-0.003,9.249,9.012,9.019,0.784,0,1
2024-08-06 12:31:00,0.005,-0.003,9.249,9.012,9.019,0.784,0,1
2024-08-06 12:31:05,0.005,-0.003,9.251,9.012,9.019,0.784,0,1
2024-08-06 12:31:10,0.005,-0.003,9.251,9.004,9.017,0.784,0,1
2024-08-06 12:31:15,0.005,-0.003,9.251,9.004,9.017,0.784,0,1
2024-08-06 12:31:20,0.005,-0.003,9.249,9.004,9.019,0.784,0,1
2024-08-06 12:31:25,0.005,-0.003,9.249,9.004,9.019,0.784,0,1
2024-08-06 12:31:30,0.005,-0.003,9.251,9.012,9.019,0.784,0,1
2024-08-06 12:31:35,0.005,-0.003,9.251,9.012,9.017,0.784,0,1
2024-08-06 12:31:40,0.005,-0.003,9.251,9.012,9.017,0.784,0,1
2024-08-06 12:31:45,0.005,-0.003,9.249,9.012,9.017,0.784,0,1
2024-08-06 12:31:50,0.005,-0.003,9.249,9.019,9.017,0.784,0,1
2024-08-06 12:31:55,0.005,-0.003,9.249,9.019,9.017,0.784,0,1
2024-08-06 12:32:00,0.005,-0.003,9.249,9.027,9.017,0.784,0,1
2024-08-06 12:32:05,0.005,-0.003,9.251,9.027,9.019,0.784,0,1
2024-08-06 12:32:10,0.005,-0.003,9.251,9.027,9.019,0.784,0,1
2024-08-06 12:32:15,0.005,-0.003,9.249,9.027,9.017,0.784,0,1
2024-08-06 12:32:20,0.005,-0.003,9.249,9.027,9.017,0.784,0,1
2024-08-06 12:32:25,0.005,-0.003,9.249,9.027,9.017,0.784,0,1
2024-08-06 12:32:30,0.005,-0.003,9.249,9.019,9.017,0.784,0,1
2024-08-06 12:32:35,0.005,-0.003,9.251,9.019,9.019,0.784,0,1
2024-08-06 12:32:40,0.005,-0.003,9.251,9.019,9.019,0.784,0,1
2024-08-06 12:32:45,0.005,-0.003,9.251,9.019,9.017,0.784,0,1
2024-08-06 12:32:50,0.005,-0.003,9.251,9.027,9.019,0.784,0,1
2024-08-06 12:32:55,0.005,-0.003,9.251,9.027,9.019,0.784,0,1
2024-08-06 12:33:00,0.005,-0.003,9.251,9.042,9.019,0.784,0,1
2024-08-06 12:33:05,0.005,-0.003,9.251,9.042,9.019,0.784,0,1
2024-08-06 12:33:10,0.005,-0.003,9.251,9.042,9.019,0.784,0,1
2024-08-06 12:33:15,0.006,-0.003,9.251,9.05,9.019,0.784,0,1
2024-08-06 12:33:20,0.006,-0.003,9.251,9.05,9.019,0.784,0,1
2024-08-06 12:33:25,0.005,-0.003,9.251,9.058,9.019,0.784,0,1
