Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:30:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:30:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:31:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:32:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:32:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:32:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:32:15,79.4,97.63,0.48,1.0,1.0
