Timestamp,3370-01-AI035,3370-01-AI036,3370-01-AI037,3370-01-AI145
 2024-08-05 00:00:00,1.217,1.212,1.231,9.969
 2024-08-05 00:00:03,1.217,1.206,1.22,9.993
 2024-08-05 00:01:51,1.208,1.198,1.219,10.042
 2024-08-05 00:50:36,1.383,1.381,1.389,9.795
 2024-08-05 00:59:52,1.36,1.375,1.374,9.81
 2024-08-05 01:00:01,1.367,1.366,1.376,9.838
 2024-08-05 01:38:43,1.348,1.344,1.361,9.941
 2024-08-05 01:49:31,1.436,1.429,1.443,9.733
 2024-08-05 01:59:57,1.413,1.41,1.42,9.808
 2024-08-05 02:00:06,1.408,1.413,1.419,9.803
 2024-08-05 02:03:33,1.403,1.4,1.41,9.897
 2024-08-05 02:48:58,1.471,1.479,1.486,9.713
 2024-08-05 02:59:59,1.461,1.454,1.456,9.765
 2024-08-05 03:00:07,1.464,1.466,1.47,9.739
 2024-08-05 03:35:23,1.437,1.432,1.447,9.709
 2024-08-05 03:40:46,1.497,1.494,1.51,9.884
 2024-08-05 03:59:57,1.481,1.482,1.495,9.747
 2024-08-05 04:00:12,1.487,1.478,1.494,9.732
 2024-08-05 04:22:58,1.463,1.454,1.475,9.847
 2024-08-05 04:48:01,1.508,1.514,1.523,9.689
 2024-08-05 04:59:53,1.48,1.478,1.486,9.742
 2024-08-05 05:00:01,1.485,1.497,1.498,9.758
 2024-08-05 05:05:32,1.476,1.474,1.488,9.831
 2024-08-05 05:32:56,1.526,1.524,1.542,9.677
 2024-08-05 05:59:57,1.515,1.512,1.53,9.746
 2024-08-05 06:00:04,1.507,1.515,1.524,9.752
 2024-08-05 06:09:36,1.491,1.487,1.498,9.819
 2024-08-05 06:26:49,1.537,1.537,1.548,9.665
 2024-08-05 06:59:54,1.524,1.514,1.527,9.714
 2024-08-05 07:00:02,1.525,1.51,1.525,9.739
 2024-08-05 07:08:23,1.507,1.501,1.513,9.831
 2024-08-05 07:53:24,1.555,1.55,1.562,9.655
 2024-08-05 07:59:58,1.532,1.53,1.541,9.755
 2024-08-05 08:00:06,1.534,1.521,1.544,9.742
 2024-08-05 08:52:49,1.686,1.671,1.366,9.628
 2024-08-05 08:56:56,1.356,1.347,1.394,10.674
 2024-08-05 08:59:53,1.369,1.359,1.343,9.955
 2024-08-05 09:00:01,1.376,1.378,1.421,9.933
 2024-08-05 09:06:51,1.414,1.419,1.384,9.814
 2024-08-05 09:49:17,1.345,1.322,1.376,10.033
 2024-08-05 09:59:59,1.381,1.367,1.367,9.913
 2024-08-05 10:00:06,1.369,1.371,1.445,9.897
 2024-08-05 10:33:33,1.359,1.346,1.436,9.86
 2024-08-05 10:56:12,1.433,1.437,1.45,10.041
 2024-08-05 10:59:55,1.432,1.423,1.389,9.983
 2024-08-05 11:00:02,1.427,1.409,1.506,9.973
 2024-08-05 11:14:41,1.384,1.377,1.464,9.859
 2024-08-05 11:19:44,1.48,1.476,1.446,10.064
 2024-08-05 11:59:52,1.455,1.432,1.424,10.032
 2024-08-05 12:00:00,1.447,1.443,1.518,9.984
 2024-08-05 12:10:08,1.422,1.407,1.486,9.886
 2024-08-05 12:54:24,1.506,1.518,1.556,10.08
 2024-08-05 12:59:55,1.49,1.505,1.518,10.045
