"Timestamp","3370-01-AI081","3370-01-AI082","3370-01-AI083","3370-01-AI084","3370-01-AI085"
" 2024-08-05 00:00:00","67.759","67.248","66.865","68.908","66.483"
" 2024-08-05 00:00:19","67.631","67.121","66.738","68.78","66.355"
" 2024-08-05 00:00:27","63.422","63.55","63.422","63.805","66.483"
" 2024-08-05 00:56:40","63.295","63.422","63.295","63.932","63.295"
" 2024-08-05 01:00:18","61.383","61.383","61.383","61.638","63.167"
" 2024-08-05 01:57:15","61.256","61.256","61.256","61.511","61.256"
" 2024-08-05 02:00:36","59.473","61.383","59.473","61.638","61.129"
" 2024-08-05 02:58:58","59.346","59.473","59.346","59.728","59.346"
" 2024-08-05 03:03:29","59.473","59.346","57.691","59.601","59.219"
" 2024-08-05 03:03:37","57.819","59.473","57.564","57.946","59.346"
" 2024-08-05 03:57:30","57.691","57.691","56.038","57.819","57.691"
" 2024-08-05 04:01:54","57.819","57.564","56.165","56.292","57.564"
" 2024-08-05 04:55:08","56.165","56.038","56.038","56.165","56.165"
" 2024-08-05 05:00:33","56.038","56.165","56.165","54.893","56.038"
" 2024-08-05 05:58:48","56.165","56.038","54.639","54.766","54.639"
" 2024-08-05 06:03:55","54.766","54.639","54.512","53.495","54.512"
" 2024-08-05 06:55:08","54.639","54.512","54.639","53.368","53.368"
" 2024-08-05 07:00:40","54.766","53.241","53.241","52.225","53.241"
" 2024-08-05 07:54:57","53.368","53.114","53.114","52.097","52.097"
" 2024-08-05 08:01:00","53.241","51.97","53.241","52.225","51.97"
" 2024-08-05 08:59:54","53.368","51.843","51.97","51.081","50.827"
" 2024-08-05 09:01:03","52.097","50.827","51.843","50.954","50.954"
" 2024-08-05 09:58:19","51.97","50.7","51.97","51.081","49.812"
" 2024-08-05 10:04:51","52.097","50.827","50.827","49.939","49.685"
" 2024-08-05 10:04:59","50.954","49.812","50.7","49.812","49.812"
" 2024-08-05 10:56:20","50.827","49.685","50.827","49.939","48.796"
" 2024-08-05 11:02:54","49.939","49.812","49.812","48.923","48.67"
" 2024-08-05 11:54:06","49.812","48.67","49.685","48.796","47.781"
" 2024-08-05 12:01:41","49.939","48.543","48.67","48.923","47.655"
" 2024-08-05 12:58:08","48.923","47.655","48.543","47.908","46.767"
" 2024-08-05 14:30:12","48.796","47.528","48.67","47.781","45.372"
" 2024-08-05 14:30:51","48.923","46.64","47.528","47.908","45.499"
" 2024-08-05 15:55:01","47.781","45.118","47.401","46.893","44.231"
" 2024-08-05 16:03:23","47.655","45.245","46.513","45.372","44.104"
" 2024-08-05 16:03:31","46.893","43.978","44.992","45.499","44.231"
" 2024-08-05 16:52:57","45.372","43.851","45.118","44.231","43.471"
" 2024-08-05 17:02:27","45.499","43.978","43.851","44.104","43.344"
" 2024-08-05 17:59:53","44.231","43.218","43.724","43.471","62.912"
" 2024-08-05 18:01:17","44.104","43.344","43.851","43.598","63.04"
" 2024-08-05 18:55:34","44.231","62.658","43.218","64.442","65.845"
" 2024-08-05 19:00:19","43.471","62.785","43.091","64.57","65.972"
" 2024-08-05 19:54:42","43.598","65.462","62.785","67.376","66.993"
" 2024-08-05 20:15:24","64.442","65.335","62.912","67.503","66.865"
" 2024-08-05 20:17:27","64.57","65.462","66.1","68.525","66.738"
