Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-05 00:00:00,1.63,1.22,0.04
 2024-08-05 00:00:03,1.67,1.18,0.03
 2024-08-05 00:14:27,1.02,1.69,0.08
 2024-08-05 00:59:52,3.47,0.88,0.05
 2024-08-05 01:00:01,1.72,1.27,0.04
 2024-08-05 01:00:08,1.6,1.25,0.07
 2024-08-05 01:01:03,1.02,0.91,0.03
 2024-08-05 01:59:57,4.37,1.77,0.04
 2024-08-05 02:00:05,1.71,1.35,0.05
 2024-08-05 02:09:52,1.85,1.49,0.03
 2024-08-05 02:14:43,2.58,1.96,0.07
 2024-08-05 02:59:59,1.01,0.96,0.05
 2024-08-05 03:00:07,1.39,1.11,0.03
 2024-08-05 03:25:04,1,1.07,0.08
 2024-08-05 03:59:57,2.57,0.97,0.05
 2024-08-05 04:00:04,1.83,1.85,0.04
 2024-08-05 04:00:59,1.45,1.38,0.03
 2024-08-05 04:06:30,0.94,1.28,0.08
 2024-08-05 04:59:53,3.77,1.83,0.06
 2024-08-05 05:00:00,1.66,1.09,0.03
 2024-08-05 05:04:07,1.5,1.5,0.07
 2024-08-05 05:59:57,2.67,1.33,0.05
 2024-08-05 06:00:04,1.07,1.9,0.03
 2024-08-05 06:03:55,1.58,1.15,0.07
 2024-08-05 06:59:54,1.46,1.28,0.03
 2024-08-05 07:00:02,2.42,1.27,0.06
 2024-08-05 07:01:04,1.03,1.84,0.03
 2024-08-05 07:13:00,1.4,0.93,0.07
 2024-08-05 07:59:43,1.45,1.09,0.04
 2024-08-05 08:00:06,3.24,1.29,0.05
 2024-08-05 08:00:52,1.01,0.92,0.03
 2024-08-05 08:47:48,1.42,2.57,0.37
 2024-08-05 08:59:38,1.58,1.34,0.06
 2024-08-05 09:00:09,0.99,1.6,0.08
 2024-08-05 09:00:32,47.82,1.04,0.05
 2024-08-05 09:50:26,3.27,12.27,0.11
 2024-08-05 09:59:59,3.62,3.03,0.07
 2024-08-05 10:00:06,2.77,3.02,0.08
 2024-08-05 10:01:53,5.23,4.04,0.05
 2024-08-05 10:45:37,4.04,1.88,0.1
 2024-08-05 10:59:55,4.31,2.7,0.06
 2024-08-05 11:00:02,2.7,2.79,0.08
 2024-08-05 11:01:04,7.41,1.85,0.05
 2024-08-05 11:01:12,3.66,6.96,0.09
 2024-08-05 11:59:52,4.4,2.66,0.07
 2024-08-05 12:00:00,4.67,2.79,0.05
 2024-08-05 12:14:09,2.93,3.59,0.09
 2024-08-05 12:59:55,3.39,1.98,0.07
 2024-08-05 14:30:28,3.31,2.4,0.06
 2024-08-05 14:30:59,2.75,2.37,0.08
 2024-08-05 14:43:04,5.46,3.75,0.05
 2024-08-05 15:59:46,3.67,1.57,0.07
 2024-08-05 16:00:17,3.61,2.32,0.06
 2024-08-05 16:04:25,8.82,2.25,0.33
