_time,_value
2024-09-29 00:00:00+09:00,35.68
2024-09-29 00:01:00+09:00,35.71
2024-09-29 00:02:00+09:00,35.718
2024-09-29 00:03:00+09:00,35.722
2024-09-29 00:04:00+09:00,35.822
2024-09-29 00:05:00+09:00,36.574
2024-09-29 00:06:00+09:00,35.714
2024-09-29 00:07:00+09:00,35.692
2024-09-29 00:08:00+09:00,35.758
2024-09-29 00:09:00+09:00,35.806
2024-09-29 00:10:00+09:00,35.75
2024-09-29 00:11:00+09:00,35.746
2024-09-29 00:12:00+09:00,35.854
2024-09-29 00:13:00+09:00,35.77
2024-09-29 00:14:00+09:00,35.716
2024-09-29 00:15:00+09:00,35.802
2024-09-29 00:16:00+09:00,35.742
2024-09-29 00:17:00+09:00,35.894
2024-09-29 00:18:00+09:00,36.374
2024-09-29 00:19:00+09:00,35.946
2024-09-29 00:20:00+09:00,35.384
2024-09-29 00:21:00+09:00,35.376
2024-09-29 00:22:00+09:00,35.336
2024-09-29 00:23:00+09:00,35.424
2024-09-29 00:24:00+09:00,35.496
2024-09-29 00:25:00+09:00,35.732
2024-09-29 00:26:00+09:00,35.588
2024-09-29 00:27:00+09:00,35.564
2024-09-29 00:28:00+09:00,35.616
2024-09-29 00:29:00+09:00,35.54
2024-09-29 00:30:00+09:00,35.484
2024-09-29 00:31:00+09:00,35.596
2024-09-29 00:32:00+09:00,36.55
2024-09-29 00:33:00+09:00,35.548
2024-09-29 00:34:00+09:00,35.52
2024-09-29 00:35:00+09:00,35.372
2024-09-29 00:36:00+09:00,35.388
2024-09-29 00:37:00+09:00,35.5
2024-09-29 00:38:00+09:00,35.436
2024-09-29 00:39:00+09:00,35.452
2024-09-29 00:40:00+09:00,35.564
2024-09-29 00:41:00+09:00,35.596
2024-09-29 00:42:00+09:00,35.436
2024-09-29 00:43:00+09:00,35.5
2024-09-29 00:44:00+09:00,35.436
2024-09-29 00:45:00+09:00,36.434
2024-09-29 00:46:00+09:00,35.584
2024-09-29 00:47:00+09:00,35.352
2024-09-29 00:48:00+09:00,35.412
2024-09-29 00:49:00+09:00,35.4
2024-09-29 00:50:00+09:00,35.444
2024-09-29 00:51:00+09:00,35.424
2024-09-29 00:52:00+09:00,35.548
2024-09-29 00:53:00+09:00,35.584
2024-09-29 00:54:00+09:00,35.536
2024-09-29 00:55:00+09:00,35.504
2024-09-29 00:56:00+09:00,35.328
2024-09-29 00:57:00+09:00,35.396
2024-09-29 00:58:00+09:00,36.348
2024-09-29 00:59:00+09:00,36.1
2024-09-29 01:00:00+09:00,35.646
2024-09-29 01:01:00+09:00,35.388
2024-09-29 01:02:00+09:00,35.42
2024-09-29 01:03:00+09:00,35.53
2024-09-29 01:04:00+09:00,35.512
2024-09-29 01:05:00+09:00,35.616
2024-09-29 01:06:00+09:00,35.53
2024-09-29 01:07:00+09:00,35.48
2024-09-29 01:08:00+09:00,35.58
2024-09-29 01:09:00+09:00,35.564
2024-09-29 01:10:00+09:00,35.536
2024-09-29 01:11:00+09:00,35.626
2024-09-29 01:12:00+09:00,36.312
2024-09-29 01:13:00+09:00,35.624
2024-09-29 01:14:00+09:00,35.564
2024-09-29 01:15:00+09:00,35.632
2024-09-29 01:16:00+09:00,35.496
2024-09-29 01:17:00+09:00,35.476
2024-09-29 01:18:00+09:00,35.536
2024-09-29 01:19:00+09:00,35.532
2024-09-29 01:20:00+09:00,35.592
2024-09-29 01:21:00+09:00,35.456
2024-09-29 01:22:00+09:00,35.432
2024-09-29 01:23:00+09:00,35.536
2024-09-29 01:24:00+09:00,35.512
2024-09-29 01:25:00+09:00,36.334
2024-09-29 01:26:00+09:00,35.52
2024-09-29 01:27:00+09:00,35.268
