iter	RMSE
0	706.2878616
1	705.0837352
2	703.8484418
3	702.6229381
4	701.4567986
5	700.2396984
6	699.0529775
7	697.8881932
8	696.7510457
9	695.7047691
10	694.5982626
11	693.5134794
12	692.4508042
13	691.4008188
14	690.3889695
15	689.3637828
16	688.3957925
17	687.41755
18	686.4651758
19	685.5308938
20	684.6139498
21	683.7363196
22	682.9003372
23	682.0168928
24	681.1668917
25	680.3033998
26	679.464179
27	678.6499277
28	677.9373366
29	677.1412254
30	676.3507767
31	675.5859652
32	674.8410993
33	674.0910292
34	673.391871
35	672.6532659
36	671.9636662
37	671.2602343
38	670.6210518
39	669.9442294
40	669.3281694
41	668.6415444
42	667.9990063
43	667.3650718
44	666.7480267
45	666.1492613
46	665.5355827
47	664.9111152
48	664.3485264
49	663.794305
50	663.2360668
51	662.68625
52	662.1580559
53	661.7095544
54	661.1742453
55	660.6581755
56	660.219407
57	659.7495408
58	659.2491169
59	658.770488
60	658.3260843
61	657.8725993
62	657.4165322
63	656.9805227
64	656.5454074
65	656.1155485
66	655.691465
67	655.2969587
68	654.8959807
69	654.4903281
70	654.119407
71	653.7464777
72	653.4539072
73	653.081973
74	652.6759941
75	652.3209534
76	651.9431248
77	651.6049657
78	651.3124364
79	650.9722727
80	650.6386318
81	650.2886632
82	649.969526
83	649.6571247
84	649.3496537
85	649.0464111
86	648.7384217
87	648.4453658
88	648.1514001
89	647.8418833
90	647.5649762
91	647.2912009
92	647.0577833
93	646.8060918
94	646.5509171
95	646.295028
96	646.0396383
97	645.7930017
98	645.5466387
99	645.3085063
100	645.0856061
101	644.8264056
102	644.6003955
103	644.3894017
104	644.1736151
105	643.9554023
106	643.747333
107	643.5465588
108	643.3093913
109	643.079223
110	642.8760593
111	642.6535469
112	642.4201293
113	642.2043102
114	642.0359775
115	641.8501492
116	641.6681055
117	641.4764556
118	641.2749721
119	641.1181345
120	640.9464592
121	640.753448
122	640.5987492
123	640.4437137
124	640.3036923
125	640.134525
126	639.9589888
127	639.8204688
128	639.6689844
129	639.5204502
130	639.3784739
131	639.238817
132	639.0947203
133	638.949432
134	638.8214761
135	638.6829719
136	638.5299006
137	638.4007042
138	638.2523323
139	638.1324801
140	638.0095011
141	637.898682
142	637.7752067
143	637.6578652
144	637.5212979
145	637.3936429
146	637.2668225
147	637.1314357
148	637.0136839
149	636.899469
150	636.7900252
151	636.6828007
152	636.5763542
153	636.4725434
154	636.3695061
155	636.2589405
156	636.1556458
157	636.0678004
158	635.9565113
159	635.8697511
160	635.7664736
161	635.68553
162	635.5887159
163	635.5020279
164	635.3996754
165	635.3014242
166	635.1930078
167	635.1097174
168	635.0087004
169	634.9272323
170	634.8431982
171	634.760182
172	634.6703331
173	634.5869494
174	634.5102615
175	634.4400592
176	634.3408344
177	634.2510351
178	634.1674062
179	634.0872863
180	634.0508497
181	633.9806345
182	633.8940428
183	633.8266914
184	633.7534669
185	633.7023528
186	633.6514367
187	633.5805827
188	633.5196874
189	633.4674236
190	633.4066085
191	633.332842
192	633.2685881
193	633.2142841
194	633.1536548
195	633.0990707
196	633.0361361
197	632.9825902
198	632.9344787
199	632.8832094
200	632.8260641
201	632.774744
202	632.719848
203	632.6664903
204	632.6167088
205	632.5569031
206	632.4893291
207	632.4460832
208	632.389231
209	632.323213
210	632.2794964
211	632.2203367
212	632.1771913
213	632.1267488
214	632.0791229
215	632.0246558
216	631.9787446
217	631.9343385
218	631.8925857
219	631.8528001
220	631.8041302
221	631.7524029
222	631.7171993
223	631.6594509
224	631.6267542
225	631.5809208
226	631.5319977
227	631.4822534
228	631.4465853
229	631.4019088
230	631.3673719
231	631.3314262
232	631.2949086
233	631.2484572
234	631.2207059
235	631.1660748
236	631.1423633
237	631.0982781
238	631.0706289
239	631.0290502
240	630.9867303
241	630.9467251
242	630.906773
243	630.8620912
244	630.8198029
245	630.7893581
246	630.7629064
247	630.7348505
248	630.6943354
249	630.669118
250	630.6314007
251	630.5894792
252	630.5636464
253	630.5532387
254	630.5147487
255	630.4875281
256	630.4476261
257	630.4112501
258	630.3780395
259	630.3549178
260	630.3138403
261	630.2885943
262	630.2654519
263	630.2396563
264	630.2064891
265	630.1941371
266	630.1644489
267	630.1353393
268	630.1136266
269	630.072714
270	630.0479909
271	630.0258575
272	629.9904952
273	629.9645693
274	629.9360596
275	629.9147793
276	629.8969025
277	629.8620049
278	629.8469185
279	629.8352029
280	629.8020539
281	629.7783639
282	629.7564931
283	629.7283166
284	629.7139579
285	629.6886309
286	629.6580923
287	629.6521357
288	629.6229898
289	629.5912157
290	629.5639308
291	629.5345321
292	629.5159661
293	629.5077041
294	629.4948571
295	629.4736334
296	629.4502173
297	629.417755
298	629.3953414
299	629.3702303
300	629.3480197
301	629.3405025
302	629.3293461
303	629.305653
304	629.2896946
305	629.2595289
306	629.2373044
307	629.2326652
308	629.2051331
309	629.1825766
310	629.1633726
311	629.1540808
312	629.1409037
313	629.1380106
314	629.1184925
315	629.0951654
316	629.0845426
317	629.0655691
318	629.0531767
319	629.0494732
320	629.0319587
321	629.0060116
322	628.983771
323	628.962894
324	628.9559804
325	628.9505572
326	628.9381841
327	628.910721
328	628.8989551
329	628.8844664
330	628.8567003
331	628.8301352
332	628.8096999
333	628.7976255
334	628.7861781
335	628.7720367
336	628.7542895
337	628.7277671
338	628.7103856
339	628.6992112
340	628.6815662
341	628.6776151
342	628.659266
343	628.6388439
344	628.6211724
345	628.5988341
346	628.574715
347	628.558051
348	628.5365416
349	628.5283525
350	628.5040908
351	628.4853624
352	628.4779544
353	628.4597478
354	628.4360926
355	628.4227772
356	628.4131787
357	628.3971901
358	628.3868403
359	628.3787752
360	628.3701633
361	628.3661644
362	628.3574526
363	628.3426078
364	628.3242738
365	628.3026291
366	628.290386
367	628.2696046
368	628.262072
369	628.2534865
370	628.2423526
371	628.2301502
372	628.2089394
373	628.1993625
374	628.1877066
375	628.1798064
376	628.1714138
377	628.1560004
378	628.1438342
379	628.1369817
380	628.1214269
381	628.1033669
382	628.1003837
383	628.0875969
384	628.0744077
385	628.0607818
386	628.0495175
387	628.0449614
