iter	Passed	Remaining
0	1	1388
1	3	1687
2	4	1554
3	5	1457
4	7	1393
5	8	1365
6	10	1423
7	11	1399
8	12	1373
9	13	1334
10	14	1324
11	16	1359
12	17	1347
13	19	1338
14	20	1326
15	21	1345
16	23	1355
17	24	1341
18	25	1331
19	27	1323
20	28	1340
21	30	1335
22	31	1326
23	32	1315
24	33	1306
25	35	1323
26	36	1319
27	37	1313
28	38	1302
29	40	1295
30	41	1302
31	42	1297
32	44	1289
33	45	1282
34	46	1274
35	47	1281
36	49	1283
37	50	1278
38	51	1275
39	53	1285
40	54	1281
41	55	1276
42	57	1269
43	58	1262
44	59	1261
45	61	1265
46	62	1262
47	63	1264
48	64	1260
49	66	1268
50	68	1268
51	69	1266
52	70	1260
53	71	1253
54	73	1256
55	74	1257
56	75	1251
57	77	1251
58	78	1252
59	79	1252
60	80	1246
61	82	1241
62	83	1237
63	84	1231
64	86	1242
65	87	1238
66	88	1234
67	89	1231
68	91	1236
69	92	1234
70	94	1230
71	95	1226
72	96	1219
73	98	1226
74	99	1223
75	100	1221
76	101	1218
77	102	1215
78	105	1224
79	106	1221
80	107	1219
81	108	1216
82	110	1217
83	111	1216
84	112	1213
85	113	1210
86	115	1207
87	116	1208
88	117	1207
89	119	1205
90	120	1203
91	121	1201
92	123	1202
93	124	1199
94	125	1196
95	126	1193
96	127	1189
97	129	1192
98	131	1194
99	132	1195
100	134	1193
101	135	1195
102	137	1194
103	138	1191
104	139	1188
105	140	1185
106	142	1186
107	143	1185
108	145	1188
109	146	1186
110	148	1185
111	149	1184
112	150	1182
113	151	1179
114	152	1176
115	155	1181
116	156	1181
117	157	1180
118	159	1181
119	161	1181
120	162	1181
121	164	1184
122	165	1183
123	168	1189
124	169	1186
125	170	1184
126	172	1182
127	173	1183
128	175	1181
129	176	1179
130	177	1175
131	178	1173
132	180	1177
133	181	1175
134	183	1174
135	184	1172
136	186	1172
137	187	1171
138	188	1168
139	189	1166
140	191	1164
141	193	1166
142	194	1165
143	195	1163
144	196	1160
145	197	1157
146	200	1161
147	201	1159
148	202	1156
149	203	1154
150	205	1156
151	206	1154
152	208	1151
153	209	1148
154	210	1146
155	212	1147
156	213	1146
157	214	1144
158	215	1142
159	217	1139
160	218	1140
161	220	1138
162	221	1136
163	222	1134
164	223	1133
165	225	1132
166	226	1130
167	228	1129
168	229	1127
169	230	1127
170	232	1125
171	233	1123
172	234	1121
173	235	1118
174	237	1118
175	238	1118
176	239	1115
177	241	1114
178	242	1111
179	244	1112
180	245	1110
181	246	1107
182	247	1105
183	248	1103
184	250	1104
185	252	1103
186	253	1101
187	254	1098
188	255	1097
189	257	1097
190	258	1096
191	260	1094
192	261	1092
193	263	1093
194	264	1091
195	265	1089
196	266	1087
197	267	1085
198	270	1087
199	271	1087
200	273	1088
201	276	1091
202	277	1090
203	278	1088
204	280	1086
205	282	1088
206	283	1086
207	284	1084
208	285	1081
209	287	1080
210	288	1080
211	290	1078
212	291	1076
213	292	1074
214	294	1073
215	295	1072
216	296	1070
217	297	1068
218	299	1066
219	300	1066
220	302	1064
221	303	1062
222	304	1060
223	305	1058
224	307	1058
225	308	1056
226	310	1055
227	311	1054
228	312	1053
229	314	1051
230	315	1049
231	316	1047
232	317	1045
233	318	1043
234	320	1042
235	321	1040
236	322	1039
237	324	1037
238	325	1036
239	326	1034
240	327	1032
241	329	1030
242	330	1028
243	331	1027
244	333	1026
245	334	1024
246	335	1023
247	337	1022
248	339	1023
249	340	1022
250	341	1020
251	343	1018
252	344	1016
253	345	1015
254	346	1013
255	348	1011
256	349	1009
257	351	1009
258	352	1008
259	353	1006
260	354	1004
261	355	1002
262	357	1002
263	359	1000
264	360	998
265	361	996
266	362	994
267	364	996
268	366	995
269	367	993
270	368	992
271	371	993
272	372	991
273	373	989
274	374	987
275	376	986
276	377	986
277	378	984
278	379	982
279	381	979
280	383	980
281	384	978
282	385	976
283	386	974
284	387	972
285	389	972
286	390	970
287	391	968
288	393	967
289	394	966
290	396	965
291	397	963
292	398	961
293	399	959
294	400	957
295	402	957
296	403	955
297	405	954
298	406	952
299	408	952
300	409	950
301	410	948
302	411	947
303	412	945
304	414	944
305	415	942
306	416	941
307	417	938
308	419	937
309	421	937
310	422	936
311	423	934
312	424	932
313	425	930
314	427	929
315	428	928
316	430	926
317	431	924
318	432	923
319	434	922
320	435	921
321	436	919
322	437	917
323	440	918
324	441	916
325	442	915
326	443	913
327	445	912
328	448	914
329	450	914
330	452	915
331	454	914
332	455	912
333	457	911
334	458	910
335	459	908
336	461	907
337	462	905
338	463	903
339	465	903
340	466	901
341	467	899
342	468	897
343	469	896
344	471	895
345	472	893
346	474	892
347	476	892
348	478	891
349	479	890
350	481	890
351	482	888
352	484	887
353	485	886
354	486	884
355	488	883
356	490	882
357	491	881
358	492	880
359	494	878
360	495	876
361	496	875
362	497	873
363	498	871
364	500	869
365	501	868
366	503	868
367	504	867
368	506	865
369	507	863
370	508	862
371	510	861
372	511	859
373	512	857
374	513	855
375	514	854
376	517	854
377	518	853
378	519	851
379	521	850
380	522	849
381	523	847
382	524	845
383	525	843
384	526	841
385	529	841
386	530	840
387	531	838
388	532	836
389	534	835
390	535	834
391	536	832
392	538	831
393	539	829
394	540	828
395	542	827
396	544	826
397	545	824
398	546	823
399	548	822
400	549	820
401	550	818
402	551	817
403	552	815
404	554	814
405	555	813
406	557	812
407	558	810
408	560	810
409	561	808
410	563	807
411	564	805
412	566	805
413	568	804
414	569	802
415	570	801
416	571	799
417	573	798
418	575	797
419	576	795
420	577	794
421	579	793
422	580	791
423	581	790
424	582	788
425	584	787
426	585	786
427	587	784
428	588	783
429	589	781
430	590	779
431	592	779
432	594	777
433	595	776
434	596	774
435	598	774
436	599	772
437	601	771
438	602	769
439	603	767
440	604	766
441	606	765
442	607	763
443	608	761
444	609	760
445	611	759
446	612	757
